codigo_ocorrencia,codigo_fator,fator,aspecto,condicionante,area,detalhe_fator
47102,                                                                                                                                ,                                                                                                ,                             ,                                           ,                 ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
47108,                                                                                                                                ,                                                                                                ,                             ,                                           ,                 ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
47109,                                                                                                                                ,                                                                                                ,                             ,                                           ,                 ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
47110,14253                                                                                                                           ,ATITUDE                                                                                         ,ASPECTO PSICOLÓGICO          ,INDIVIDUAL                                 ,FATOR HUMANO     ,"O PILOTO DEMONSTRAVA UMA CONFIANÇA ELEVADA SOBRE O POTENCIAL OPERACIONAL DO AIR
TRACTOR, MODELO AT-502B, ALIADO A UMA AUTOCONFIANÇA SOBRE SUA CAPACIDADE EM PILOTÁ-LO.                                                                                                                                                                                                                                                                                                                                                             "
47132,                                                                                                                                ,                                                                                                ,                             ,                                           ,                 ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
47133,14219                                                                                                                           ,JULGAMENTO DE PILOTAGEM                                                                         ,DESEMPENHO DO SER HUMANO     ,OPERAÇÃO DA AERONAVE                       ,FATOR OPERACIONAL,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
47134,                                                                                                                                ,                                                                                                ,                             ,                                           ,                 ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
47138,                                                                                                                                ,                                                                                                ,                             ,                                           ,                 ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
47142,14486                                                                                                                           ,ATITUDE                                                                                         ,ASPECTO PSICOLÓGICO          ,INDIVIDUAL                                 ,FATOR HUMANO     ,"O PILOTO ASSUMIU OS RISCOS INERENTES ÀQUELE VOO AO VOAR SOLO, NOTURNO, EM UMA AERONAVE NA QUAL NÃO POSSUÍA EXPERIÊNCIA SUFICIENTE. AVALIA-SE, PORTANTO, QUE O PILOTO FOI COMPLACENTE QUANDO ACEITOU FAZER O VOO NAS CONDIÇÕES DESCRITAS, TENDO ASSUMIDO OS RISCOS INERENTES À OPERAÇÃO.                                                                                                                                                                                                                                             "
47154,                                                                                                                                ,                                                                                                ,                             ,                                           ,                 ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
47155,                                                                                                                                ,                                                                                                ,                             ,                                           ,                 ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
47156,14376                                                                                                                           ,MANUTENÇÃO DE AERONAVE                                                                          ,DESEMPENHO DO SER HUMANO     ,MANUTENÇÃO DA AERONAVE                     ,FATOR OPERACIONAL,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
47158,                                                                                                                                ,                                                                                                ,                             ,                                           ,                 ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
47159,                                                                                                                                ,                                                                                                ,                             ,                                           ,                 ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
47296,                                                                                                                                ,                                                                                                ,                             ,                                           ,                 ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
47297,                                                                                                                                ,                                                                                                ,                             ,                                           ,                 ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
47298,                                                                                                                                ,                                                                                                ,                             ,                                           ,                 ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
47333,                                                                                                                                ,                                                                                                ,                             ,                                           ,                 ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
47334,                                                                                                                                ,                                                                                                ,                             ,                                           ,                 ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
47339,                                                                                                                                ,                                                                                                ,                             ,                                           ,                 ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
47351,                                                                                                                                ,                                                                                                ,                             ,                                           ,                 ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
47353,                                                                                                                                ,                                                                                                ,                             ,                                           ,                 ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
47354,14242                                                                                                                           ,MANUTENÇÃO DE AERONAVE                                                                          ,DESEMPENHO DO SER HUMANO     ,MANUTENÇÃO DA AERONAVE                     ,FATOR OPERACIONAL,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
47422,                                                                                                                                ,                                                                                                ,                             ,                                           ,                 ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
47647,                                                                                                                                ,                                                                                                ,                             ,                                           ,                 ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
47648,                                                                                                                                ,                                                                                                ,                             ,                                           ,                 ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
47649,14358                                                                                                                           ,MANUTENÇÃO DE AERONAVE                                                                          ,DESEMPENHO DO SER HUMANO     ,MANUTENÇÃO DA AERONAVE                     ,FATOR OPERACIONAL,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
47650,                                                                                                                                ,                                                                                                ,                             ,                                           ,                 ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
47651,                                                                                                                                ,                                                                                                ,                             ,                                           ,                 ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
47652,14189                                                                                                                           ,APLICAÇÃO DE COMANDOS                                                                           ,DESEMPENHO DO SER HUMANO     ,OPERAÇÃO DA AERONAVE                       ,FATOR OPERACIONAL,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
47659,                                                                                                                                ,                                                                                                ,                             ,                                           ,                 ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
47661,14110                                                                                                                           ,PLANEJAMENTO DE VOO                                                                             ,DESEMPENHO DO SER HUMANO     ,OPERAÇÃO DA AERONAVE                       ,FATOR OPERACIONAL,"O PILOTO, POR NÃO OPERAR COM FREQUÊNCIA NAQUELA LOCALIDADE, AO REALIZAR O PLANEJAMENTO DO VOO, DEIXOU DE CONSIDERAR A POSSIBILIDADE DE UMA EVENTUAL INCURSÃO DE PESSOAS NA PISTA. NÃO HOUVE UMA AVALIAÇÃO DE RISCO ADEQUADA, A FIM DE IDENTIFICAR ÀS CONDIÇÕES INSEGURAS DE OPERAÇÃO NAQUELA LOCALIDADE.                                                                                                                                                                                                                            "
47665,                                                                                                                                ,                                                                                                ,                             ,                                           ,                 ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
47674,                                                                                                                                ,                                                                                                ,                             ,                                           ,                 ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
47675,                                                                                                                                ,                                                                                                ,                             ,                                           ,                 ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
47694,                                                                                                                                ,                                                                                                ,                             ,                                           ,                 ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
47697,14217                                                                                                                           ,POUCA EXPERIÊNCIA DO PILOTO                                                                     ,DESEMPENHO DO SER HUMANO     ,OPERAÇÃO DA AERONAVE                       ,FATOR OPERACIONAL,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
47698,                                                                                                                                ,                                                                                                ,                             ,                                           ,                 ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
47699,                                                                                                                                ,                                                                                                ,                             ,                                           ,                 ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
47872,                                                                                                                                ,                                                                                                ,                             ,                                           ,                 ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
47876,15815                                                                                                                           ,MANUTENÇÃO DE AERONAVE                                                                          ,DESEMPENHO DO SER HUMANO     ,MANUTENÇÃO DA AERONAVE                     ,FATOR OPERACIONAL,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
47879,14239                                                                                                                           ,ESQUECIMENTO DO PILOTO                                                                          ,DESEMPENHO DO SER HUMANO     ,OPERAÇÃO DA AERONAVE                       ,FATOR OPERACIONAL,"É POSSÍVEL QUE O PILOTO TENHA SE ESQUECIDO DO PROCEDIMENTO RECOMENDADO INFORMALMENTE COM RELAÇÃO À SELEÇÃO DOS TANQUES, QUE SERIA DE CONSUMIR O COMBUSTÍVEL DE UM TANQUE NA ETAPA DE IDA E SELECIONAR O OUTRO TANQUE NA ETAPA DE RETORNO.                                                                                                                                                                                                                                                                                           "
47888,                                                                                                                                ,                                                                                                ,                             ,                                           ,                 ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
47894,                                                                                                                                ,                                                                                                ,                             ,                                           ,                 ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
47901,                                                                                                                                ,                                                                                                ,                             ,                                           ,                 ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
47926,                                                                                                                                ,                                                                                                ,                             ,                                           ,                 ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
47936,                                                                                                                                ,                                                                                                ,                             ,                                           ,                 ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
47965,                                                                                                                                ,                                                                                                ,                             ,                                           ,                 ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
47966,14744                                                                                                                           ,INDISCIPLINA DE VOO                                                                             ,DESEMPENHO DO SER HUMANO     ,OPERAÇÃO DA AERONAVE                       ,FATOR OPERACIONAL,"O PILOTO, COMO DONO DA EMPRESA, REALIZOU O VOO NA AERONAVE SABENDO QUE NÃO HAVIA SIDO CUMPRIDO O BS 200-057-A005, DE CARÁTER OBRIGATÓRIO, REFORÇADO PELA DIRETRIZ DE AERONAVEGABILIDADE EMERGENCIAL (DAE) NO 2013-02-01, EMITIDA EM 21FEV2013 PELA AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL (ANAC), EVIDENCIANDO A VIOLAÇÃO INTENCIONAL DE REGULAMENTOS RELATIVOS À AERONAVEGABILIDADE DA AERONAVE, SEM QUE HOUVESSE JUSTIFICADO MOTIVO PARA TAL.                                                                                          "
47979,                                                                                                                                ,                                                                                                ,                             ,                                           ,                 ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
47980,                                                                                                                                ,                                                                                                ,                             ,                                           ,                 ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
47981,14259                                                                                                                           ,DESORIENTAÇÃO                                                                                   ,ASPECTO MÉDICO               ,***                                        ,FATOR HUMANO     ,"CASO O PILOTO TENHA EFETUADO UM STALL TURN, A POSIÇÃO DO SOL E AS MUDANÇAS DE ATITUDE LONGITUDINAL PODEM TER FAVORECIDO ALTERAÇÃO DOS REFERENCIAIS E CONTRIBUINDO PARA UMA POSSÍVEL DESORIENTAÇÃO ESPACIAL.                                                                                                                                                                                                                                                                                                                         "
47983,                                                                                                                                ,                                                                                                ,                             ,                                           ,                 ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
47992,                                                                                                                                ,                                                                                                ,                             ,                                           ,                 ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
